country_code,indicator,year,value
BHR,imports_pct_gdp,2016,62.2347072046616
BHR,imports_pct_gdp,2015,68.5719566006692
BHR,imports_pct_gdp,2014,76.3503224222473
BHR,imports_pct_gdp,2013,83.7628572125021
BHR,imports_pct_gdp,2012,80.5583845887584
BHR,imports_pct_gdp,2011,71.8932922709265
BHR,imports_pct_gdp,2010,48.8587714119882
BHR,fuel_exports_pct_merch_exports,2024,0.000371894251415909
BHR,fuel_exports_pct_merch_exports,2023,0.252930709797225
BHR,fuel_exports_pct_merch_exports,2022,0.0426131887253156
BHR,fuel_exports_pct_merch_exports,2021,0.0520982100390362
BHR,fuel_exports_pct_merch_exports,2020,29.8191901321903
BHR,fuel_exports_pct_merch_exports,2019,42.1282144838203
BHR,fuel_exports_pct_merch_exports,2018,53.3203933261076
BHR,fuel_exports_pct_merch_exports,2017,50.1771114184211
BHR,fuel_exports_pct_merch_exports,2016,45.0173153136849
BHR,fuel_exports_pct_merch_exports,2015,50.3566602372733
BHR,fuel_exports_pct_merch_exports,2014,66.8346508823664
BHR,fuel_exports_pct_merch_exports,2013,59.0027891704387
BHR,fuel_exports_pct_merch_exports,2012,64.1472033708371
BHR,fuel_exports_pct_merch_exports,2011,71.8441684413074
BHR,fuel_exports_pct_merch_exports,2010,74.3474756294398
BHR,food_imports_pct_merch_imports,2024,15.010526742122
BHR,food_imports_pct_merch_imports,2023,13.9121235503305
BHR,food_imports_pct_merch_imports,2022,14.1665572021434
BHR,food_imports_pct_merch_imports,2021,12.2792823667973
BHR,food_imports_pct_merch_imports,2020,11.6643354834077
BHR,food_imports_pct_merch_imports,2019,9.75028267373527
