country_code,year,access_to_electricity_pct,agriculture_pct_gdp,external_debt_private_nonguaranteed_usd,external_debt_public_publicly_guaranteed_usd,external_debt_stock_total_usd,gdp_per_capita_usd,gni_per_capita_atlas_usd,industry_pct_gdp,internet_users_pct,life_expectancy_years,manufacturing_pct_gdp,population,services_pct_gdp,urban_population_pct
BTN,2025,,13.6806760206392,,,,4492.78400306618,4310.0,33.1602867332639,,,,796682.0,53.159040451554,43.4301832473753
DJI,2010,57.9,,,611551056.3,768541095.7,1213.23352553429,,,6.5,60.743,,930251.0,,70.6486554782903
DJI,2011,58.1,,,641216411.3,769520335.7,1306.34552844977,,,7.0,61.337,,948558.0,,70.6776532458676
DJI,2012,54.6,,,632579864.0,802385752.1,1400.19357858954,,,9.399999619,61.719,,966747.0,,70.7266311335377
DJI,2013,58.6,1.19392304728354,,665055815.9,820599815.1,2075.94498424748,,11.3865800627511,12.69999981,62.116,1.95656960422745,984824.0,80.5749435790169,70.7969331287484
DJI,2014,58.9,1.22411023326762,,813173439.3,943103980.6,2214.62084142432,,11.612957172612,17.0,62.427,2.7748356788478,1002717.0,80.3757215180893,70.8899032189478
DJI,2015,59.1,1.05900752644099,,1174322941.3,1227496569.6,2376.12554719873,2280.0,11.3951494809576,22.89999962,62.833,2.73555807602599,1020313.0,80.2864982413037,71.0068853915837
DJI,2016,59.8,0.99558771996226,,1602776809.9,1702240895.4,2510.4300076241,2370.0,11.3387071221455,30.79999924,63.335,2.83557314687334,1037653.0,80.6844688233518,71.1492236341041
DJI,2017,60.2,1.29424095183589,,1944879880.0,2266964232.8,2618.95521147369,2450.0,12.4061244543166,55.6814092453962,63.71,3.10152709601158,1054841.0,79.2106257072114,71.318261933957
DJI,2018,62.4,1.41671102035767,,2045009716.0,2321379194.7,2718.08338799203,2600.0,13.991615352663,57.06169891,64.105,3.31583463198092,1071882.0,77.5190312641123,71.5153442785902
