reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
TUR,M,2025,887,YEM,18406138.0
TUR,M,2025,894,,4275947.0
TUR,M,2025,899,,87784126.0
TUR,X,2025,4,AFG,206278362.0
TUR,X,2025,8,,888318275.0
TUR,X,2025,10,,6308.0
TUR,X,2025,12,DZA,2463542522.0
TUR,X,2025,16,,388802.0
TUR,X,2025,20,,611829.0
TUR,X,2025,24,,115241398.0
TUR,X,2025,28,,14141949.0
TUR,X,2025,31,,3022652095.0
TUR,X,2025,32,,244943431.0
TUR,X,2025,36,,943034444.0
TUR,X,2025,40,,2092025369.0
TUR,X,2025,44,,28633371.0
TUR,X,2025,48,BHR,147392306.0
TUR,X,2025,50,BGD,430623047.0
TUR,X,2025,51,,4414215.0
TUR,X,2025,52,,36069723.0
TUR,X,2025,56,,5026869523.0
TUR,X,2025,60,,3467656.0
TUR,X,2025,64,BTN,140388.0
TUR,X,2025,68,,137144047.0
TUR,X,2025,70,,822300000.0
TUR,X,2025,72,,3878459.0
TUR,X,2025,76,,985634425.0
TUR,X,2025,84,,35810599.0
TUR,X,2025,90,,950749.0
TUR,X,2025,92,,50034457.0
TUR,X,2025,96,,3031432.0
TUR,X,2025,100,,5575888615.0
TUR,X,2025,104,,3243085.0
TUR,X,2025,108,,4925584.0
TUR,X,2025,112,,1488114580.0
TUR,X,2025,116,,29914491.0
TUR,X,2025,120,,189340815.0
TUR,X,2025,124,,1577664064.0
TUR,X,2025,132,,14783486.0
TUR,X,2025,136,,14753146.0
TUR,X,2025,140,,9503987.0
TUR,X,2025,144,LKA,78403286.0
TUR,X,2025,148,,110310758.0
TUR,X,2025,152,,439010658.0
TUR,X,2025,156,,3278239927.0
TUR,X,2025,166,,57356.0
TUR,X,2025,170,,236546095.0
TUR,X,2025,174,,19654500.0
TUR,X,2025,178,,109589735.0
TUR,X,2025,180,,224415703.0
TUR,X,2025,184,,3643246.0
TUR,X,2025,188,,79310158.0
TUR,X,2025,191,,700244822.0
TUR,X,2025,192,,160440104.0
TUR,X,2025,196,,2631650188.0
TUR,X,2025,203,,2407883536.0
TUR,X,2025,204,,103244274.0
TUR,X,2025,208,,1435040327.0
TUR,X,2025,212,,2565773.0
TUR,X,2025,214,,181296063.0
TUR,X,2025,218,,77338728.0
TUR,X,2025,222,,19052008.0
TUR,X,2025,226,,31873912.0
TUR,X,2025,231,ETH,156343673.0
TUR,X,2025,232,ERI,34051647.0
TUR,X,2025,233,,370288817.0
TUR,X,2025,234,,1027711.0
TUR,X,2025,238,,6165.0
TUR,X,2025,242,,3215146.0
TUR,X,2025,246,,526181887.0
TUR,X,2025,251,,11196412254.0
TUR,X,2025,258,,6626473.0
TUR,X,2025,260,,43719.0
TUR,X,2025,262,DJI,428488488.0
TUR,X,2025,266,,126528205.0
TUR,X,2025,268,,2704932647.0
TUR,X,2025,270,,61163852.0
TUR,X,2025,275,PSE,531804936.0
TUR,X,2025,276,,22167230053.0
TUR,X,2025,288,,469602836.0
TUR,X,2025,292,,109547894.0
TUR,X,2025,296,,19734.0
TUR,X,2025,300,,5360693342.0
TUR,X,2025,304,,70787.0
TUR,X,2025,308,,5087510.0
TUR,X,2025,316,,769336.0
TUR,X,2025,320,,86835487.0
TUR,X,2025,324,,240519615.0
TUR,X,2025,328,,134801126.0
TUR,X,2025,332,,61942245.0
TUR,X,2025,336,,635.0
TUR,X,2025,340,,21627177.0
TUR,X,2025,344,,976215645.0
TUR,X,2025,348,,1847754289.0
TUR,X,2025,352,,43658449.0
TUR,X,2025,360,,481158969.0
TUR,X,2025,364,IRN,3058060705.0
TUR,X,2025,368,IRQ,12379754285.0
TUR,X,2025,372,,1078111456.0
TUR,X,2025,380,,13231836497.0
TUR,X,2025,384,,267309928.0
TUR,X,2025,388,,81187213.0
TUR,X,2025,392,,702414381.0
TUR,X,2025,398,,3190796307.0
TUR,X,2025,400,JOR,1896688430.0
TUR,X,2025,404,,222746021.0
TUR,X,2025,410,,1135426163.0
TUR,X,2025,414,KWT,573745775.0
TUR,X,2025,417,,1341109624.0
TUR,X,2025,418,,9895731.0
TUR,X,2025,422,LBN,1325361519.0
TUR,X,2025,426,,174419.0
TUR,X,2025,428,,219459569.0
TUR,X,2025,430,,439464651.0
TUR,X,2025,434,LBY,3155065456.0
